"player","mapsPlayed","impact","rating"
"4ourgot010",2,-0.000781809045982145,NA
"Nertz",1,-0.000785597998431842,NA
"Necrogenes1s",2,-0.000785870506295012,NA
"crackii",2,-0.000788002776197521,NA
"XFZ",2,-0.000788996924392301,NA
"Maden",280,-0.000789104519922282,1.06
"reiko",6,-0.00079042981265815,NA
"Smyli",6,-0.000790618877141923,NA
"miko",3,-0.000792047091587102,NA
"Kntz",3,-0.000792303141606494,NA
"r1d3r",1,-0.0007941013365422,NA
"BUBBIS",2,-0.000796700823489391,NA
"bedonka",1,-0.000796935558641979,NA
"BRACE",2,-0.000797146855401108,NA
"shutout",1,-0.000797360875134339,NA
"xizy",1,-0.000798519858196561,NA
"HudzM",1,-0.000799666002197789,NA
"zNf",2,-0.000799693502336628,NA
"agM",3,-0.000799762205951617,NA
"yAmi",5,-0.000801412200627672,NA
"stavn",629,-0.000801452904550246,1.08
"numb",1,-0.000802605093808713,NA
"theguy",1,-0.000803535515946423,NA
"DaneJoris",2,-0.000803652796504003,NA
"nat1ve",4,-0.000805065491101949,NA
"DarkS1DE",3,-0.000811792197155928,NA
"reD",2,-0.000812189441070048,NA
"chrizm",1,-0.000812368752865251,NA
"spOxzer",2,-0.000813713588529101,NA
"karl",2,-0.000816201282465172,NA
"cheti",3,-0.000816897217939688,NA
"karbon",2,-0.000817129972460045,NA
"4314",2,-0.000818175494273692,NA
"9makasi",1,-0.000818742437917874,NA
"sYnceD",2,-0.000823303235246049,NA
"goffe",2,-0.000824321442469658,NA
"Aaron",6,-0.000829421121062691,NA
"AaroN",4,-0.000829609470191342,NA
"Axii",2,-0.000831468196131001,NA
"Limpone",4,-0.000834496748320032,NA
"7oX1C",4,-0.000835511807602513,NA
"CrimZM",1,-0.000838775228744635,NA
"Master",1,-0.000839876576603492,NA
"viltrex",3,-0.000840446274733096,NA
"Insane",2,-0.00084252921524502,NA
"fear",2,-0.000844204491726581,NA
"Fessor",12,-0.000844477204438516,NA
"vek",2,-0.000845173304075591,NA
"REAL1ZE",2,-0.000849651606130897,NA
"cookie",1,-0.000853872879150875,NA
"JoJo",2,-0.000855003742225506,NA
"CooL",2,-0.000856470305373625,NA
"keeyto",2,-0.000857121266402853,NA
"liptoN",2,-0.000857354046131549,NA
"ChrisMaQ",3,-0.000858371938620483,NA
